material_int,material_type,material_name,thickness,absorption_coefficients,absorption_frequencies
-1,masonry walls,rough concrete,,"[0.02, 0.03, 0.03, 0.03, 0.04, 0.07]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,smooth unpainted concrete,,"[0.01, 0.01, 0.02, 0.02, 0.02, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,"smooth concrete, painted or glazed",,"[0.01, 0.01, 0.01, 0.02, 0.02, 0.02]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,porous concrete blocks  (no surface finish),,"[0.05, 0.05, 0.05, 0.08, 0.14, 0.2]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,clinker concrete  (no surface finish),,"[0.1, 0.2, 0.4, 0.6, 0.5, 0.6]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,smooth brickwork with flush pointing,,"[0.02, 0.03, 0.03, 0.04, 0.05, 0.07]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,"smooth brickwork with flush pointing, painted",,"[0.01, 0.01, 0.02, 0.02, 0.02, 0.02]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,standard brickwork,,"[0.05, 0.04, 0.02, 0.04, 0.05, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,"brickwork, 10mm flush pointing",,"[0.08, 0.09, 0.12, 0.16, 0.22, 0.24]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,lime cement plaster on masonry wall,,"[0.02, 0.02, 0.03, 0.04, 0.05, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,glaze plaster on masonry wall,,"[0.01, 0.01, 0.01, 0.02, 0.02, 0.02]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,painted plaster surface on masonry wall,,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,plaster on masonry wall with wall paper on backing paper,,"[0.02, 0.03, 0.04, 0.05, 0.07, 0.08]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,ceramic tiles with smooth surface,,"[0.01, 0.01, 0.01, 0.02, 0.02, 0.02]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,breeze block,,"[0.2, 0.45, 0.6, 0.4, 0.45, 0.4]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,plaster on solid wall,,"[0.04, 0.05, 0.06, 0.08, 0.04, 0.06]","[125, 250, 500, 1000, 2000, 4000]"
-1,masonry walls,"plaster, lime or gypsum on solid backing",,"[0.03, 0.03, 0.02, 0.03, 0.04, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,"plasterboard on battens, 18mm airspace with glass wool",,"[0.3, 0.2, 0.15, 0.05, 0.05, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,"plasterboard on frame, 100mm airspace",,"[0.3, 0.12, 0.08, 0.06, 0.06, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,"plasterboard on frame, 100mm airspace with glass wool",,"[0.08, 0.11, 0.05, 0.03, 0.02, 0.03]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,plasterboard on 50mm battens,,"[0.29, 0.1, 0.05, 0.04, 0.07, 0.09]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,plasterboard on 25mm battens,,"[0.31, 0.33, 0.14, 0.1, 0.1, 0.12]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,"2 x plasterboard on frame, 50mm airspace with mineral wool",2 x 13mm,"[0.15, 0.1, 0.06, 0.04, 0.04, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,plasterboard on cellular core partition,,"[0.15, 0.0, 0.07, 0.0, 0.04, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,plasterboard on frame 100mm cavity,13mm,"[0.08, 0.11, 0.05, 0.03, 0.02, 0.03]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,"plasterboard on frame, 100mm cavity with mineral wool",13mm,"[0.3, 0.12, 0.08, 0.06, 0.06, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,studwork and lightweight walls,"2 x 13mm plasterboard on steel frame, 50mm mineral wool in cavity, surface painted",26mm,"[0.15, 0.01, 0.06, 0.04, 0.04, 0.05]","[125, 250, 500, 1000, 2000, 4000]"
-1,glass and glazing,4mm glass,4mm,"[0.3, 0.2, 0.1, 0.07, 0.05, 0.02]","[125, 250, 500, 1000, 2000, 4000]"
-1,glass and glazing,6mm glass,6mm,"[0.1, 0.06, 0.04, 0.03, 0.02, 0.02]","[125, 250, 500, 1000, 2000, 4000]"
