material_int,material_type,material_name,thickness,absorption_coefficients,absorption_frequencies
1,walls,brick,,"[0.03, 0.03, 0.03, 0.04, 0.05, 0.07]","[125, 250, 500, 1000, 2000, 4000]"
2,walls,"concrete, painted",,"[0.1, 0.05, 0.06, 0.07, 0.09, 0.08]","[125, 250, 500, 1000, 2000, 4000]"
3,walls,window glass,,"[0.35, 0.25, 0.18, 0.12, 0.07, 0.04]","[125, 250, 500, 1000, 2000, 4000]"
4,walls,marble,,"[0.01, 0.01, 0.01, 0.01, 0.02, 0.02]","[125, 250, 500, 1000, 2000, 4000]"
5,walls,plaster on concrete,,"[0.12, 0.09, 0.07, 0.05, 0.05, 0.04]","[125, 250, 500, 1000, 2000, 4000]"
6,walls,plywood,,"[0.28, 0.22, 0.17, 0.09, 0.1, 0.11]","[125, 250, 500, 1000, 2000, 4000]"
7,walls,"concrete block, coarse",,"[0.36, 0.44, 0.31, 0.29, 0.39, 0.25]","[125, 250, 500, 1000, 2000, 4000]"
8,walls,heavyweight drapery,,"[0.14, 0.35, 0.55, 0.72, 0.7, 0.65]","[125, 250, 500, 1000, 2000, 4000]"
9,walls,"fiberglass wall treatment, 1 in",,"[0.08, 0.32, 0.99, 0.76, 0.34, 0.12]","[125, 250, 500, 1000, 2000, 4000]"
10,walls,"fiberglass wall treatment, 7 in",,"[0.86, 0.99, 0.99, 0.99, 0.99, 0.99]","[125, 250, 500, 1000, 2000, 4000]"
11,walls,wood panelling on glass fiber blanket,,"[0.4, 0.9, 0.8, 0.5, 0.4, 0.3]","[125, 250, 500, 1000, 2000, 4000]"
12,floors,wood parquet on concrete,,"[0.04, 0.04, 0.07, 0.06, 0.06, 0.07]","[125, 250, 500, 1000, 2000, 4000]"
13,floors,linoleum,,"[0.02, 0.03, 0.03, 0.03, 0.03, 0.02]","[125, 250, 500, 1000, 2000, 4000]"
14,floors,carpet on concrete,,"[0.02, 0.06, 0.14, 0.37, 0.6, 0.65]","[125, 250, 500, 1000, 2000, 4000]"
15,floors,carpet on foam rubber padding,,"[0.08, 0.24, 0.57, 0.69, 0.71, 0.73]","[125, 250, 500, 1000, 2000, 4000]"
16,ceilings,"plaster, gypsum, or lime on lath",,"[0.14, 0.1, 0.06, 0.05, 0.04, 0.03]","[125, 250, 500, 1000, 2000, 4000]"
17,ceilings,"acoustic tiles, 0.625in, 16in below ceiling",,"[0.25, 0.28, 0.46, 0.71, 0.86, 0.93]","[125, 250, 500, 1000, 2000, 4000]"
18,ceilings,"acoustic tiles, 0.5in, 16in below ceiling",,"[0.52, 0.37, 0.5, 0.69, 0.79, 0.78]","[125, 250, 500, 1000, 2000, 4000]"
19,ceilings,"acoustic tiles, 0.5in cemented to ceiling",,"[0.1, 0.22, 0.61, 0.66, 0.74, 0.72]","[125, 250, 500, 1000, 2000, 4000]"
20,ceilings,"highly absorptive panels, 1in, 16in below ceiling",,"[0.58, 0.88, 0.75, 0.99, 1.0, 0.96]","[125, 250, 500, 1000, 2000, 4000]"
21,others,upholstered seats,,"[0.19, 0.37, 0.56, 0.67, 0.61, 0.59]","[125, 250, 500, 1000, 2000, 4000]"
22,others,audience in upholstered seats,,"[0.39, 0.57, 0.8, 0.94, 0.92, 0.87]","[125, 250, 500, 1000, 2000, 4000]"
23,others,grass,,"[0.11, 0.26, 0.6, 0.69, 0.92, 0.99]","[125, 250, 500, 1000, 2000, 4000]"
24,others,soil,,"[0.15, 0.25, 0.4, 0.55, 0.6, 0.6]","[125, 250, 500, 1000, 2000, 4000]"
25,others,water surface,,"[0.01, 0.01, 0.01, 0.02, 0.02, 0.03]","[125, 250, 500, 1000, 2000, 4000]"
26,others,anechoic,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[125, 250, 500, 1000, 2000, 4000]"
27,others,uniform (0.6) absorbtion coefficient,,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[125, 250, 500, 1000, 2000, 4000]"
28,others,uniform (0.2) absorbtion coefficient,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[125, 250, 500, 1000, 2000, 4000]"
29,others,uniform (0.8) absorbtion coefficient,,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8]","[125, 250, 500, 1000, 2000, 4000]"
30,others,uniform (0.14) absorbtion coefficient,,"[0.14, 0.14, 0.14, 0.14, 0.14, 0.14]","[125, 250, 500, 1000, 2000, 4000]"
31,others,artificial - absorbs more at high freqs,,"[0.08, 0.08, 0.1, 0.1, 0.12, 0.12]","[125, 250, 500, 1000, 2000, 4000]"
32,others,artificial with absorption higher in middle ranges,,"[0.05, 0.05, 0.2, 0.2, 0.1, 0.1]","[125, 250, 500, 1000, 2000, 4000]"
33,others,artificial - absorbs more at low freqs,,"[0.12, 0.12, 0.1, 0.1, 0.08, 0.08]","[125, 250, 500, 1000, 2000, 4000]"
